Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,0.990000,1.115000,0.990000,1.104167,0.744398,733200
1995-02-01,1.083333,1.115000,1.083333,1.115000,0.751701,1318800
1995-03-01,1.115000,1.145833,1.115000,1.135833,0.768084,25610400
1995-04-01,1.135833,1.208333,1.125000,1.198333,0.810349,1624800
1995-05-01,1.198333,1.323333,1.198333,1.312500,0.887551,4923600
1995-06-01,1.312500,1.354167,1.281667,1.344167,0.911477,6110400
1995-07-01,1.344167,1.500000,1.344167,1.469167,0.996239,9331200
1995-08-01,1.458333,1.583333,1.458333,1.541667,1.045402,6219600
1995-09-01,1.552500,1.573333,1.520833,1.552500,1.055026,3924000
1995-10-01,1.562500,1.562500,1.406667,1.510833,1.026711,909600
1995-11-01,1.510833,1.583333,1.500000,1.573333,1.069185,1053600
1995-12-01,1.573333,1.583333,1.552500,1.552500,1.057310,1092000
1996-01-01,1.552500,1.677500,1.552500,1.666667,1.135062,3524400
1996-02-01,1.645833,1.645833,1.604167,1.604167,1.092497,3157200
1996-03-01,1.615000,1.625000,1.593333,1.604167,1.095827,5194800
1996-04-01,1.614167,1.641667,1.566667,1.575000,1.075903,5186400
1996-05-01,1.575000,1.575000,1.420833,1.420833,0.970589,8402400
1996-06-01,1.416667,1.416667,1.366667,1.391667,0.953899,10347600
1996-07-01,1.391667,1.529167,1.391667,1.466667,1.005306,7695600
1996-08-01,1.462500,1.591667,1.462500,1.562500,1.070994,4840800
1996-09-01,1.562500,1.683333,1.562500,1.625000,1.117381,22558800
1996-10-01,1.616667,1.616667,1.541667,1.587500,1.091595,9398400
1996-11-01,1.587500,1.833333,1.583333,1.775000,1.220524,10009200
1996-12-01,1.770833,1.779167,1.666667,1.741667,1.201377,6200400
1997-01-01,1.741670,1.954167,1.700000,1.916667,1.322090,7998000
1997-02-01,1.929167,2.333333,1.925000,2.333333,1.609501,29536200
1997-03-01,2.333333,2.508333,2.325000,2.383333,1.649609,3654600
1997-04-01,2.333333,2.500000,2.333333,2.416667,1.672680,4099800
1997-05-01,2.433333,2.550000,2.416667,2.500000,1.730358,2588400
