Date,Open,High,Low,Close,Adj Close,Volume
1972-08-01,0.063477,0.064941,0.062500,0.062500,0.022422,6707200
1972-09-01,0.062744,0.063232,0.054688,0.056885,0.020407,16998400
1972-10-01,0.057373,0.062988,0.056396,0.062988,0.022597,42649600
1972-11-01,0.063721,0.068359,0.062744,0.062988,0.022597,24268800
1972-12-01,0.063232,0.068115,0.062988,0.067383,0.024174,32358400
1973-01-01,0.067627,0.068115,0.057861,0.057861,0.020758,25804800
1973-02-01,0.058350,0.063965,0.058105,0.060547,0.021721,46336000
1973-03-01,0.060059,0.060059,0.041992,0.044434,0.015941,54937600
1973-04-01,0.044434,0.045410,0.041260,0.043701,0.015678,18022400
1973-05-01,0.043457,0.044189,0.040283,0.042969,0.015415,18739200
1973-06-01,0.042969,0.042969,0.028809,0.029541,0.010598,87654400
1973-07-01,0.029541,0.051514,0.028809,0.046875,0.016816,22937600
1973-08-01,0.046875,0.046875,0.038086,0.041260,0.014802,16537600
1973-09-01,0.041748,0.044922,0.037842,0.043945,0.015765,22067200
1973-10-01,0.043701,0.046875,0.042969,0.045898,0.016466,13260800
1973-11-01,0.045166,0.045166,0.027344,0.030273,0.010861,41062400
1973-12-01,0.030029,0.030029,0.024414,0.026123,0.009372,39526400
1974-01-01,0.026611,0.037109,0.026611,0.037109,0.013313,12800000
1974-02-01,0.036621,0.036621,0.028320,0.032715,0.011736,23449600
1974-03-01,0.030518,0.033203,0.029785,0.030518,0.010948,12748800
1974-04-01,0.030518,0.032227,0.030518,0.030762,0.011070,7270400
1974-05-01,0.030762,0.034424,0.029297,0.033203,0.011948,14592000
1974-06-01,0.033203,0.039551,0.033203,0.038086,0.013705,39270400
1974-07-01,0.037842,0.040039,0.037354,0.038086,0.013705,10188800
1974-08-01,0.038086,0.038330,0.028809,0.032227,0.011597,10137600
1974-09-01,0.032227,0.032715,0.027588,0.027588,0.009927,7680000
1974-10-01,0.027344,0.027344,0.021484,0.024170,0.008725,13363200
1974-11-01,0.024658,0.025146,0.019287,0.019531,0.007050,115097600
1974-12-01,0.019531,0.020752,0.014404,0.018555,0.006698,23500800
1975-01-01,0.018555,0.030029,0.018555,0.029297,0.010576,35635200
1975-02-01,0.029297,0.032471,0.027588,0.027588,0.009959,30361600
1975-03-01,0.027588,0.040283,0.027344,0.039063,0.014101,45004800
1975-04-01,0.038818,0.039063,0.033203,0.033447,0.012094,17920000
1975-05-01,0.033447,0.042236,0.033203,0.041016,0.014830,31795200
1975-06-01,0.041016,0.049316,0.039795,0.047607,0.017214,62924800
1975-07-01,0.047852,0.051514,0.045654,0.047852,0.017323,29644800
1975-08-01,0.047852,0.048828,0.044434,0.045898,0.016616,25753600
1975-09-01,0.045898,0.050781,0.044922,0.047852,0.017323,27545600
1975-10-01,0.046875,0.059082,0.046387,0.055176,0.019999,50022400
1975-11-01,0.055176,0.061523,0.055176,0.058594,0.021238,71270400
1975-12-01,0.059082,0.059570,0.049316,0.051270,0.018583,16153600
1976-01-01,0.051270,0.057129,0.049316,0.053223,0.019320,52147200
1976-02-01,0.053223,0.063965,0.050781,0.059082,0.021447,141619200
1976-03-01,0.059082,0.064941,0.058105,0.063965,0.023219,63872000
1976-04-01,0.063965,0.067871,0.053223,0.056152,0.020410,38400000
1976-05-01,0.056152,0.059082,0.053223,0.053711,0.019523,26956800
1976-06-01,0.052734,0.058105,0.045898,0.053711,0.019523,79129600
1976-07-01,0.054199,0.056641,0.044922,0.046875,0.017063,63616000
1976-08-01,0.047363,0.058594,0.047363,0.057617,0.020973,77619200
1976-09-01,0.057617,0.062500,0.055664,0.060547,0.022040,54809600
1976-10-01,0.060547,0.060547,0.054199,0.055664,0.020290,52224000
1976-11-01,0.055664,0.065430,0.054199,0.060059,0.021892,66841600
1976-12-01,0.060059,0.062012,0.056152,0.060547,0.022070,42163200
1977-01-01,0.060059,0.060059,0.053711,0.054199,0.019789,40524800
1977-02-01,0.054199,0.055176,0.051270,0.053223,0.019433,24115200
1977-03-01,0.053223,0.057129,0.052734,0.054199,0.019789,35660800
1977-04-01,0.053711,0.054199,0.046875,0.046875,0.017145,35558400
1977-05-01,0.046875,0.053711,0.045410,0.051758,0.018931,34995200
1977-06-01,0.051758,0.058105,0.051270,0.056641,0.020717,39833600
1977-07-01,0.056641,0.061035,0.054688,0.057129,0.020962,39961600
1977-08-01,0.057129,0.062988,0.056641,0.060547,0.022216,33356800
1977-09-01,0.060547,0.066406,0.059570,0.066406,0.024366,54348800
1977-10-01,0.066406,0.072266,0.064453,0.065918,0.024256,63539200
1977-11-01,0.065430,0.078125,0.063965,0.072266,0.026592,75033600
1977-12-01,0.072754,0.080078,0.072754,0.079102,0.029178,118630400
1978-01-01,0.078613,0.078613,0.066406,0.074219,0.027377,46361600
1978-02-01,0.074219,0.078613,0.071777,0.075684,0.027917,63872000
1978-03-01,0.075684,0.079590,0.067383,0.073242,0.027017,112742400
1978-04-01,0.072266,0.090820,0.070313,0.090820,0.033603,89830400
1978-05-01,0.090820,0.101074,0.085938,0.093750,0.034687,129075200
1978-06-01,0.093750,0.096680,0.089844,0.091309,0.033784,70835200
1978-07-01,0.091309,0.097656,0.087891,0.095703,0.035490,51404800
1978-08-01,0.095703,0.114258,0.094727,0.106445,0.039474,100812800
1978-09-01,0.105957,0.114746,0.099609,0.108398,0.040198,47308800
1978-10-01,0.108398,0.114258,0.076172,0.088867,0.033020,73011200
1978-11-01,0.089355,0.094727,0.079102,0.089844,0.033383,57676800
1978-12-01,0.089844,0.091797,0.083008,0.088867,0.033020,59443200
1979-01-01,0.088867,0.096680,0.088379,0.088379,0.032918,67788800
1979-02-01,0.088379,0.093262,0.087891,0.090332,0.033646,27417600
1979-03-01,0.091309,0.097656,0.091309,0.094727,0.035283,37862400
1979-04-01,0.094727,0.105469,0.094238,0.099121,0.037034,70656000
1979-05-01,0.099121,0.106934,0.098633,0.099609,0.037216,44467200
1979-06-01,0.100586,0.105469,0.097656,0.098633,0.036851,28697600
1979-07-01,0.097656,0.105469,0.093750,0.101563,0.038053,45593600
1979-08-01,0.102051,0.134766,0.101563,0.133789,0.050128,55116800
1979-09-01,0.133789,0.133789,0.123047,0.124512,0.046753,35251200
1979-10-01,0.124512,0.125000,0.104492,0.115234,0.043270,108236800
1979-11-01,0.116211,0.137695,0.112305,0.136719,0.051337,37171200
1979-12-01,0.136719,0.143555,0.128906,0.129883,0.048770,26137600
1980-01-01,0.130859,0.140625,0.126953,0.139160,0.052362,39065600
1980-02-01,0.138672,0.138672,0.125000,0.125000,0.047034,18380800
1980-03-01,0.124023,0.124023,0.108398,0.111328,0.041889,78336000
1980-04-01,0.111328,0.134277,0.111328,0.126953,0.047934,35660800
